site,date,start_hour,value,variable,units,quality,prelim,name 
3129,2025-06-01,22,37.0,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3129,2025-06-01,23,32.8,OZONE,Parts Per Billion ( ppb ),0,y,Hanford-S Irwin Street 
3763,2025-06-01,0,39.1,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,1,43.2,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,4,38.6,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,5,39.7,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,6,48.6,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,7,55.2,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,8,55.5,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,9,55.5,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,10,56.3,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,11,56.1,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,12,60.0,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,13,65.8,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,14,74.8,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,15,75.0,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,16,79.3,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,17,67.1,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,18,55.5,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,19,39.7,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,20,36.5,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,21,33.0,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,22,30.9,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3763,2025-06-01,23,26.3,OZONE,Parts Per Billion ( ppb ),0,y,Porterville-1839 Newcomb Street 
3863,2025-06-01,0,29.4,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,1,24.3,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,2,25.3,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,3,31.9,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,5,29.2,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,6,32.0,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,7,40.0,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,8,45.3,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,9,53.9,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,10,56.8,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,11,58.4,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,12,61.6,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,13,65.1,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,14,65.8,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,15,54.3,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,16,54.8,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,17,48.9,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,18,51.5,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,19,57.9,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,20,58.8,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,21,49.7,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,22,37.7,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3863,2025-06-01,23,28.5,OZONE,Parts Per Billion ( ppb ),0,y,Visalia - W. Ashland Avenue 
3026,2025-06-02,0,28.8,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,1,27.7,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,2,25.9,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,4,17.8,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,5,20.0,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,6,20.5,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,7,23.1,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,8,28.5,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,9,37.9,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,10,48.9,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,11,59.6,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,12,61.4,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,13,62.4,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,14,61.5,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,15,64.2,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,16,63.7,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,17,61.5,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,18,60.8,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,19,56.6,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,20,55.6,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,21,52.8,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,22,46.8,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
3026,2025-06-02,23,40.6,OZONE,Parts Per Billion ( ppb ),0,y,Clovis-N Villa Avenue 
2013,2025-06-02,0,30.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,1,28.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,2,25.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,4,12.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,5,13.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,6,14.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,7,19.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,8,26.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,9,31.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,10,41.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,11,51.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,12,57.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,13,59.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,14,59.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,15,58.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,16,59.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,17,62.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,18,64.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,19,57.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,20,48.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,21,40.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,22,38.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
2013,2025-06-02,23,30.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Drummond Street 
3781,2025-06-02,0,24.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-02,1,23.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-02,2,22.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-02,3,20.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-02,5,15.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-02,6,17.0,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-02,7,20.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,2025-06-02,8,28.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
