site,date,start_hour,time,value,variable,units,quality,prelim,name 
3781,6/8/2025,13,2:30 PM,47.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,14,3:30 PM,48.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,15,4:30 PM,52.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,16,5:30 PM,55.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,17,6:30 PM,54.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,18,7:30 PM,48.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,19,8:30 PM,44.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,20,9:30 PM,40.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,21,10:30 PM,37.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/8/2025,22,11:30 PM,32.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,23,12:30 AM,25.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,0,1:30 AM,22.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,1,2:30 AM,21.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,2,3:30 AM,20.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,3,4:30 AM,18.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,5,6:30 AM,15.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,6,7:30 AM,19.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,7,8:30 AM,27,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,8,9:30 AM,33.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,9,10:30 AM,42.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,10,11:30 AM,46.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,11,12:30 PM,47.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,12,1:30 PM,48.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,13,2:30 PM,50.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,14,3:30 PM,51.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,15,4:30 PM,51.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,16,5:30 PM,52.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,17,6:30 PM,57.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,18,7:30 PM,59.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,19,8:30 PM,49.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,20,9:30 PM,49.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,21,10:30 PM,43.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/9/2025,22,11:30 PM,34.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,23,12:30 AM,29.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,0,1:30 AM,25.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,1,2:30 AM,22.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,2,3:30 AM,18.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,3,4:30 AM,17,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,5,6:30 AM,12,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,6,7:30 AM,16.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,7,8:30 AM,24.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,8,9:30 AM,32.6,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,9,10:30 AM,44.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,10,11:30 AM,47.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,11,12:30 PM,53.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,12,1:30 PM,56.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,13,2:30 PM,54.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,14,3:30 PM,52.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,15,4:30 PM,51,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,16,5:30 PM,52.5,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,17,6:30 PM,46.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,18,7:30 PM,43.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,19,8:30 PM,46.3,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,20,9:30 PM,45,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,21,10:30 PM,41.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/10/2025,22,11:30 PM,31.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,23,12:30 AM,26.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,0,1:30 AM,24.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,1,2:30 AM,23.2,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,2,3:30 AM,22.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,3,4:30 AM,21.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,5,6:30 AM,20,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,6,7:30 AM,20.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,7,8:30 AM,30.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,8,9:30 AM,36.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,9,10:30 AM,41.1,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,10,11:30 AM,44,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,11,12:30 PM,45.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,12,1:30 PM,45.7,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,13,2:30 PM,47.9,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,14,3:30 PM,50.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,15,4:30 PM,51.8,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
3781,6/11/2025,16,5:30 PM,50.4,OZONE,Parts Per Billion ( ppb ),0,y,Fresno-Garland                           
