Ozone-1578:OZONE_value,Ozone-1578:OZONE_date,GPS:LAT_value,GPS:LAT_date,GPS:LON_value,GPS:LON_date
44.7,2025-10-22T07:50:53Z,36.1389062,2025-10-22T07:50:53Z,-120.3683720,2025-10-22T07:50:53Z
41.6,2025-10-22T07:55:57Z,36.1389022,2025-10-22T07:55:57Z,-120.3683632,2025-10-22T07:55:57Z
41.8,2025-10-22T08:00:59Z,36.1389655,2025-10-22T08:00:59Z,-120.3683599,2025-10-22T08:00:59Z
41.6,2025-10-22T08:06:06Z,36.1389217,2025-10-22T08:06:06Z,-120.3683619,2025-10-22T08:06:06Z
38.1,2025-10-22T08:11:08Z,36.1389548,2025-10-22T08:11:08Z,-120.3683706,2025-10-22T08:11:08Z
34.7,2025-10-22T08:16:10Z,36.1389768,2025-10-22T08:16:10Z,-120.3683513,2025-10-22T08:16:10Z
34.9,2025-10-22T08:21:12Z,36.1389394,2025-10-22T08:21:12Z,-120.3683473,2025-10-22T08:21:12Z
39.0,2025-10-22T08:26:14Z,36.1389348,2025-10-22T08:26:14Z,-120.3683779,2025-10-22T08:26:14Z
42.5,2025-10-22T08:31:16Z,36.1389075,2025-10-22T08:31:16Z,-120.3683545,2025-10-22T08:31:16Z
43.9,2025-10-22T08:36:18Z,36.1389385,2025-10-22T08:36:18Z,-120.3683396,2025-10-22T08:36:18Z
42.7,2025-10-22T08:41:20Z,36.1388949,2025-10-22T08:41:20Z,-120.3683593,2025-10-22T08:41:20Z
42.8,2025-10-22T08:46:22Z,36.1388866,2025-10-22T08:46:22Z,-120.3683621,2025-10-22T08:46:22Z
43.8,2025-10-22T08:51:26Z,36.1389476,2025-10-22T08:51:26Z,-120.3683599,2025-10-22T08:51:26Z
40.7,2025-10-22T08:56:28Z,36.1389222,2025-10-22T08:56:28Z,-120.3683534,2025-10-22T08:56:28Z
38.7,2025-10-22T09:01:30Z,36.1388971,2025-10-22T09:01:30Z,-120.3683620,2025-10-22T09:01:30Z
36.7,2025-10-22T09:06:37Z,36.1389363,2025-10-22T09:06:37Z,-120.3683404,2025-10-22T09:06:37Z
33.1,2025-10-22T09:11:39Z,36.1388966,2025-10-22T09:11:39Z,-120.3683660,2025-10-22T09:11:39Z
35.3,2025-10-22T09:16:40Z,36.1389070,2025-10-22T09:16:40Z,-120.3683767,2025-10-22T09:16:40Z
33.6,2025-10-22T09:21:42Z,36.1388615,2025-10-22T09:21:42Z,-120.3683723,2025-10-22T09:21:42Z
34.1,2025-10-22T09:26:47Z,36.1388897,2025-10-22T09:26:47Z,-120.3683553,2025-10-22T09:26:47Z
34.5,2025-10-22T09:31:53Z,36.1388759,2025-10-22T09:31:53Z,-120.3683521,2025-10-22T09:31:53Z
33.7,2025-10-22T09:36:55Z,36.1388701,2025-10-22T09:36:55Z,-120.3683593,2025-10-22T09:36:55Z
31.9,2025-10-22T09:42:00Z,36.1388525,2025-10-22T09:42:00Z,-120.3683606,2025-10-22T09:42:00Z
34.3,2025-10-22T09:47:04Z,36.1389327,2025-10-22T09:47:04Z,-120.3683380,2025-10-22T09:47:04Z
33.0,2025-10-22T09:52:10Z,36.1389067,2025-10-22T09:52:10Z,-120.3683368,2025-10-22T09:52:10Z
37.6,2025-10-22T09:57:17Z,36.1388864,2025-10-22T09:57:17Z,-120.3683407,2025-10-22T09:57:17Z
39.6,2025-10-22T10:02:19Z,36.1388328,2025-10-22T10:02:19Z,-120.3683670,2025-10-22T10:02:19Z
38.3,2025-10-22T10:07:26Z,36.1388884,2025-10-22T10:07:26Z,-120.3683320,2025-10-22T10:07:26Z
38.3,2025-10-22T10:12:29Z,36.1388621,2025-10-22T10:12:29Z,-120.3683534,2025-10-22T10:12:29Z
37.2,2025-10-22T10:17:30Z,36.1389404,2025-10-22T10:17:30Z,-120.3683446,2025-10-22T10:17:30Z
35.8,2025-10-22T10:22:36Z,36.1388899,2025-10-22T10:22:36Z,-120.3683548,2025-10-22T10:22:36Z
38.7,2025-10-22T10:27:41Z,36.1389031,2025-10-22T10:27:41Z,-120.3683362,2025-10-22T10:27:41Z
39.5,2025-10-22T10:32:43Z,36.1388777,2025-10-22T10:32:43Z,-120.3683455,2025-10-22T10:32:43Z
40.1,2025-10-22T10:37:45Z,36.1389083,2025-10-22T10:37:45Z,-120.3683374,2025-10-22T10:37:45Z
39.9,2025-10-22T10:42:51Z,36.1389044,2025-10-22T10:42:51Z,-120.3683390,2025-10-22T10:42:51Z
40.6,2025-10-22T10:47:58Z,36.1388751,2025-10-22T10:47:58Z,-120.3683592,2025-10-22T10:47:58Z
39.2,2025-10-22T10:53:00Z,36.1388903,2025-10-22T10:53:00Z,-120.3683613,2025-10-22T10:53:00Z
37.9,2025-10-22T10:58:02Z,36.1388499,2025-10-22T10:58:02Z,-120.3683404,2025-10-22T10:58:02Z
39.6,2025-10-22T11:03:04Z,36.1388800,2025-10-22T11:03:04Z,-120.3683343,2025-10-22T11:03:04Z
41.1,2025-10-22T11:08:10Z,36.1388770,2025-10-22T11:08:10Z,-120.3683469,2025-10-22T11:08:10Z
36.7,2025-10-22T11:13:12Z,36.1388998,2025-10-22T11:13:12Z,-120.3683432,2025-10-22T11:13:12Z
38.3,2025-10-22T11:18:17Z,36.1388861,2025-10-22T11:18:17Z,-120.3683511,2025-10-22T11:18:17Z
41.0,2025-10-22T11:23:21Z,36.1388964,2025-10-22T11:23:21Z,-120.3683261,2025-10-22T11:23:21Z
