unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1760823601,30,28,15,31,31,15,0,0,38.437,36.139034,-120.368378,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,13.564996579454998
1760823600,24,24,16,27,27,16,27,35,0.0,36.037663,-120.173203,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760823600,22,22,15,23,23,15,27,34,48.87,36.005222,-120.117332,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,34.658763993470004
1760824200,24,24,7,25,25,7,28,37,31.229,36.139133,-120.368332,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,36.171283317359
1760824201,30,28,14,31,31,14,0,0,39.743,36.139057,-120.368347,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,14.478598059245002
1760824200,30,29,16,31,31,16,28,36,68.167,36.139107,-120.36837,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,59.582113394231
1760824201,27,27,16,28,28,16,29,35,48.847,36.139004,-120.368279,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,48.048029190273006
1760824200,21,21,14,22,22,14,28,34,48.46,36.005177,-120.117332,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,34.80734298926
1760824200,22,22,15,24,24,15,27,35,0.0,36.037533,-120.173203,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760824740,17,17,9,17,17,9,30,34,260.425,36.139042,-120.368378,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,226.54284846950003
1760824801,33,30,16,34,34,16,0,0,39.708,36.139091,-120.368401,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,14.454114099219996
1760824800,31,30,16,31,31,16,30,34,513.746,36.139042,-120.368378,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,444.37906330236
1760824800,20,20,13,21,21,13,27,35,0.0,36.037533,-120.173203,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1760824800,21,21,14,22,22,14,27,34,49.792,36.005295,-120.117249,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,35.342622255552
1760824800,27,27,7,28,28,7,28,38,31.184,36.139076,-120.368279,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,36.218400618664006
1760824801,30,29,18,31,31,18,29,36,48.312,36.13905,-120.36837,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,48.104514918208
1760824800,33,31,18,34,34,18,28,36,68.028,36.139069,-120.36837,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,59.485742582404
1760825400,26,26,7,26,26,7,29,36,30.616,36.138988,-120.36837,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,36.64240415913599
1760825401,32,29,15,34,34,15,0,0,38.686,36.139008,-120.368378,e00fce6858b443fd80f27170,0.662670487,0.209990819,0.699541715,-13.32328832,13.73918246649
1760825400,28,28,15,29,29,15,30,34,414.902,36.139072,-120.368324,e00fce682bbf742cd0b6768a,0.576134442,0.318332836,0.85992166,-25.50959952,359.38096674132
1760825401,28,28,17,29,29,17,30,35,45.919,36.139027,-120.368279,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,46.67217189532099
1760825400,30,30,17,32,32,17,29,36,66.625,36.138885,-120.368561,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,59.03947384562501
